tiengNhat,romaji,nghia,kana
おきます,okimasu,thức dậy,おきます
ねます,nemasu,ngủ,ねます
はたらきます,hatarakimasu,làm việc,はたらきます
べんきょうします,benkyou shimasu,học,べんきょうします
やすみます,yasumimasu,nghỉ ngơi,やすみます
おわります,owarimasu,kết thúc,おわります
デパート,depaato,trung tâm mua sắm,でぱーと
銀行,ginkou,ngân hàng,ぎんこう
郵便局,yuubinkyoku,bưu điện,ゆうびんきょく
図書館,toshokan,thư viện,としょかん
びじゅつかん,bijutsukan,bảo tàng mỹ thuật,びじゅつかん
今,ima,bây giờ,いま
じ,ji,~ giờ,じ
ふん,fun,~ phút (~ぷん),ふん
半,han,"30 phút, rưỡi (= さんじゅっぷん)",はん
なんじ,nanji,mấy giờ,なんじ
なんぷん,nanpun,mấy phút,なんぷん
午前,gozen,sáng (AM),ごぜん
午後,gogo,chiều (PM),ごご
朝,asa,buổi sáng,あさ
昼,hiru,buổi trưa,ひる
晩,ban,buổi tối (よる),ばん
一昨日,ototoi,hôm kia,おととい
昨日,kinou,hôm qua,きのう
今日,kyou,hôm nay,きょう
明日,ashita,ngày mai,あした
明後日,asatte,ngày mốt,あさって
今朝,kesa,sáng nay,けさ
今晩,konban,tối nay,こんばん
休み,yasumi,ngày nghỉ,やすみ
ひるやすみ,hiruyasumi,nghỉ trưa,ひるやすみ
しけん,shiken,kỳ thi,しけん
かいぎ,kaigi,cuộc họp,かいぎ
映画,eiga,phim ảnh,えいが
毎朝,maiasa,mỗi sáng,まいあさ
毎晩,maiban,mỗi tối,まいばん
毎日,mainichi,mỗi ngày,まいにち
月曜日,getsuyoubi,thứ hai,げつようび
火曜日,kayoubi,thứ ba,かようび
水曜日,suiyoubi,thứ tư,すいようび
木曜日,mokuyoubi,thứ năm,もくようび
金曜日,kinyoubi,thứ sáu,きんようび
土曜日,doyoubi,thứ bảy,どようび
日曜日,nichiyoubi,chủ nhật,にちようび
から,kara,từ ~,から
まで,made,đến ~,まで
戸,to,và,と
たいへんですね,taihen desu ne,anh/chị vất vả quá,たいへんですね
でんわばんごう,denwabangou,số điện thoại,でんわばんごう
なんばん,nanban,số bao nhiêu?,なんばん
一昨日の朝,ototoi no asa,buổi sáng hôm kia,おとといのあさ
一昨日の昼,ototoi no hiru,buổi trưa hôm kia,おとといのひる
一昨日の晩,ototoi no ban,buổi tối hôm kia,おとといのばん
昨日の朝,kinou no asa,buổi sáng hôm qua,きのうのあさ
昨日の昼,kinou no hiru,buổi trưa hôm qua,きのうのひる
昨日の晩,kinou no ban,buổi tối hôm qua,きのうのばん
今日の朝,kyou no asa,buổi sáng hôm nay,きょうのあさ
今日の昼,kyou no hiru,buổi trưa hôm nay,きょうのひる
今日の晩,kyou no ban,buổi tối hôm nay,きょうのばん
明日の朝,ashita no asa,buổi sáng ngày mai,あしたのあさ
明日の昼,ashita no hiru,buổi trưa ngày mai,あしたのひる
明日の晩,ashita no ban,buổi tối ngày mai,あしたのばん
明後日の朝,asatte no asa,buổi sáng ngày mốt,あさってのあさ
