tiengNhat,romaji,nghia,kana
食べます,tabemasu,ăn,たべます
飲みます,nomimasu,uống,のみます
吸います,suimasu,hút (thuốc lá),すいます
見ます,mimasu,"xem, nhìn, trông",みます
聞きます,kikimasu,nghe,ききます
読みます,yomimasu,đọc,よみます
書きます,kakimasu,"viết, vẽ",かきます
買います,kaimasu,mua,かいます
撮ります,torimasu,chụp (ảnh),とります
します,shimasu,làm,します
会います,aimasu,gặp (bạn),あいます
御飯,gohan,"cơm, bữa ăn",ごはん
朝ごはん,asagohan,cơm sáng,あさごはん
昼ごはん,hirugohan,cơm trưa,ひるごはん
晩ごはん,bangohan,cơm tối,ばんごはん
パン,pan,bánh mì,ぱん
卵,tamago,trứng,たまご
肉,niku,thịt,にく
魚,sakana,cá,さかな
野菜,yasai,rau,やさい
果物,kudamono,"hoa quả, trái cây",くだもの
水,mizu,nước,みず
お茶,ocha,trà (nói chung),おちゃ
紅茶,koucha,trà đen,こうちゃ
牛乳,gyuunyuu,sữa bò,ぎゅうにゅう
ミルク,miruku,sữa (milk),みるく
ジュース,juusu,nước ép trái cây,じゅーす
ビール,biiru,bia,びーる
お酒,osake,"rượu, sake",おさけ
ビデオ,bideo,"video, băng/đầu video",びでお
映画,eiga,"phim, điện ảnh",えいが
ＣＤ,shiidii,đĩa CD,しーでぃー
手紙,tegami,thư,てがみ
レポート,repooto,báo cáo,れぽーと
写真,shashin,ảnh,しゃしん
店,mise,"cửa hàng, tiệm",みせ
レストラン,resutoran,nhà hàng,れすとらん
庭,niwa,vườn,にわ
宿題,shukudai,bài tập về nhà,しゅくだい
テニス,tenisu,quần vợt,てにす
サッカー,sakkaa,bóng đá,さっかー
パーティー,paatii,"tiệc, bữa tiệc",ぱーてぃー
お花見,ohanami,ngắm hoa anh đào,おはなみ
何,nani,cái gì,なに
いっしょに,isshoni,"cùng, cùng nhau",いっしょに
ちょっと,chotto,một chút,ちょっと
いつも,itsumo,luôn luôn,いつも
時々,tokidoki,thỉnh thoảng,ときどき
それから,sorekara,"sau đó, tiếp theo",それから
ええ,ee,vâng (thân mật),ええ
いいですね,iidesune,được đấy nhỉ / hay quá,いいですね
わかりました,wakarimashita,tôi hiểu rồi / vâng ạ,わかりました
何ですか,nandesuka,cái gì vậy? / có gì thế?,なんですか
じゃ、また,jamata,hẹn gặp lại (nhé),じゃまた
メキシコ,mekishiko,Mexico,めきしこ
大阪城公園,oosakajoukouen,Công viên lâu đài Osaka,おおさかじょうこうえん
胡瓜,kyuuri,dưa chuột (dưa leo),きゅうり
トマト,tomato,cà chua,とまと
茄子,nasu,cà tím,なす
豆,mame,đậu,まめ
キャベツ,kyabetsu,bắp cải,きゃべつ
葱,negi,hành lá / boa rô,ねぎ
白菜,hakusai,cải thảo,はくさい
ほうれん草,hourensou,cải bó xôi (rau chân vịt),ほうれんそう
レタス,retasu,xà lách,れたす
じゃがいも,jagaimo,khoai tây,じゃがいも
大根,daikon,củ cải trắng,だいこん
玉ねぎ,tamanegi,hành tây,たまねぎ
人参,ninjin,cà rốt,にんじん
苺,ichigo,dâu tây,いちご
桃,momo,đào,もも
西瓜,suika,dưa hấu,すいか
葡萄,budou,nho,ぶどう
梨,nashi,lê,なし
柿,kaki,hồng,かき
蜜柑,mikan,quýt,みかん
林檎,ringo,táo,りんご
バナナ,banana,chuối,ばなな
牛肉,gyuuniku,thịt bò,ぎゅうにく
鶏肉,toriniku,thịt gà,とりにく
豚肉,butaniku,thịt heo/lợn,ぶたにく
ソーセージ,sooseeji,xúc xích,そーせーじ
ハム,hamu,giăm bông (ham),はむ
鯵,aji,cá sòng,あじ
鰯,iwashi,cá mòi,いわし
鯖,saba,cá thu,さば
秋刀魚,sanma,cá thu đao,さんま
鮭,sake,cá hồi,さけ
鮪,maguro,cá ngừ,まぐろ
鯛,tai,cá tráp (sea bream),たい
鱈,tara,cá tuyết,たら
海老,ebi,tôm,えび
蟹,kani,cua,かに
烏賊,ika,mực,いか
蛸,tako,bạch tuộc,たこ
