tiengNhat,romaji,nghia,kana,phuluc
覚えます,oboemasu,"nhớ, ghi nhớ",おぼえます,
忘れます,wasuremasu,quên,わすれます,
なくします,nakushimasu,"làm mất, đánh mất",なくします,
払います,haraimasu,trả tiền,はらいます,
返します,kaeshimasu,trả lại,かえします,
出かけます,dekakemasu,đi ra ngoài,でかけます,
持って きます,motte kimasu,mang đến,もって きます,
残業します,zangyou shimasu,làm thêm giờ,ざんぎょうします,
出張します,shucchou shimasu,đi công tác,しゅっちょうします,
入ります,hairimasu,vào (おふろに はいります: tắm bồn),はいります,
出します,dashimasu,nộp (レポートを だします),だします,
休みます,yasumimasu,nghỉ (かいしゃを やすみます),やすみます,
脱ぎます,nugimasu,"cởi (áo, giày)",ぬぎます,
持って いきます,motte ikimasu,mang đi,もって いきます,
心配します,shinpai shimasu,lo lắng,しんぱいします,
大事,daiji,quan trọng (tính từ な),だいじ,
大丈夫,daijoubu,"không sao, ổn (tính từ な)",だいじょうぶ,
危ない,abunai,nguy hiểm,あぶない,
痛い,itai,đau,いたい,
禁煙,kin'en,cấm hút thuốc,きんえん,
保険証,hokenshou,thẻ bảo hiểm y tế,ほけんしょう,
熱,netsu,sốt,ねつ,
病気,byouki,bệnh,びょうき,
薬,kusuri,thuốc,くすり,
かぜ,kaze,"cảm, cảm cúm",かぜ,
のど,nodo,cổ họng,のど,
お風呂,ofuro,bồn tắm,おふろ,
上着,uwagi,"áo khoác, áo ngoài",うわぎ,
下着,shitagi,đồ lót,したぎ,
レポート,repooto,"báo cáo, bài luận",レポート,
2、3日,ni-san nichi,2 3 ngày,に さんにち,
2、3～,ni-san,2 3 ~ (に さんかい: 2 3 lần),に さん,
～までに,made ni,trước ~ (きんようびまでに: trước thứ sáu),までに,
ですから,desu kara,"vì vậy, cho nên",ですから,
どう しましたか,dou shimashita ka,bạn bị làm sao thế?,どう しましたか,
それは いけませんね,sore wa ikemasen ne,thế thì gay quá nhỉ,それは いけませんね,
それから,sorekara,"và, sau đó",それから,
～が 痛いです,ga itai desu,tôi bị đau ~,が いたいです,
お大事に,odaiji ni,giữ gìn sức khỏe nhé (nói với người ốm),おだいじに,
薬を 飲みます,kusuri o nomimasu,uống thuốc,くすりを のみます,
お酒,osake,"rượu, đồ uống có cồn",おさけ,
たばこを 吸います,tabako o suimasu,hút thuốc lá,たばこを すいます,
運動します,undou shimasu,vận động,うんどうします,
頭が 痛いです,atama ga itai desu,đau đầu,あたまが いたいです,1
おなかが 痛いです,onaka ga itai desu,đau bụng,おなかが いたいです,1
歯が 痛いです,ha ga itai desu,đau răng,はが いたいです,1
熱が あります,netsu ga arimasu,bị sốt,ねつが あります,1
せきが 出ます,seki ga demasu,ho,せきが でます,1
鼻水が 出ます,hanamizu ga demasu,"chảy nước mũi, sổ mũi",はなみずが でます,1
血が 出ます,chi ga demasu,chảy máu,ちが でます,1
吐き気が します,hakike ga shimasu,buồn nôn,はきけが します,1
寒気が します,samuke ga shimasu,"gai người, ớn lạnh",さむけが します,1
めまいが します,memai ga shimasu,chóng mặt,めまいが します,1
下痢を します,geri o shimasu,ỉa chảy,げりを します,1
便秘です,benpi desu,táo bón,べんぴです,1
けがを します,kega o shimasu,bị thương,けがを します,1
やけどを します,yakedo o shimasu,bị bỏng,やけどを します,1
食欲が ありません,shokuyoku ga arimasen,không muốn ăn,しょくよくが ありません,1
肩が こります,kata ga korimasu,"đau vai, mỏi vai",かたが こります,1
体が だるいです,karada ga darui desu,mỏi người,からだが だるいです,1
かゆいです,kayui desu,ngứa,かゆいです,1
風邪を ひきます,kaze o hikimasu,bị cảm,かぜを ひきます,1
インフルエンザ,infuruenza,cúm (dịch),インフルエンザ,1
盲腸,mouchou,ruột thừa,もうちょう,1
ぎっくり腰,gikkurigoshi,"trật đốt sống, trẹo hông",ぎっくりごし,1
ねんざ,nenza,bong gân,ねんざ,1
骨折,kossetsu,gãy xương,こっせつ,1
二日酔い,futsukayoi,say rượu còn dư vị hôm sau (hangover),ふつかよい,1
体,karada,"cơ thể, người",からだ,1
顔,kao,mặt,かお,1
頭,atama,đầu,あたま,1
目,me,mắt,め,1
鼻,hana,mũi,はな,1
口,kuchi,miệng,くち,1
あご,ago,cằm,あご,1
耳,mimi,tai,みみ,1
髪,kami,tóc,かみ,1
首,kubi,cổ,くび,1
胸,mune,ngực,むね,1
指,yubi,ngón tay,ゆび,1
つめ,tsume,móng (tay/chân),つめ,1
手,te,tay,て,1
ひじ,hiji,khuỷu tay,ひじ,1
腕,ude,cánh tay,うで,1
肩,kata,vai,かた,1
背中,senaka,lưng,せなか,1
腰,koshi,"hông, thắt lưng",こし,1
おしり,oshiri,mông,おしり,1
おなか,onaka,bụng,おなか,1
ひざ,hiza,đầu gối,ひざ,1
骨,hone,xương,ほね,1
足,ashi,"chân, bàn chân",あし,1
